"scientificName","redlistCategory","corallite","branching","integration","budding","family","threat"
"Porites nodifera","Least Concern",1.6,"MB",4,"extra","Poritidae","Not Threatened"
"Porites okinawensis","Vulnerable",1.3,"NB",4,"extra","Poritidae","Not Threatened"
"Porites ornata","Endangered",1.5,"MB",4,"extra","Poritidae","Threatened"
"Porites panamensis","Least Concern",0.9,"NB",4,"extra","Poritidae","Not Threatened"
"Porites porites","Least Concern",2.5,"HB",4,"extra","Poritidae","Not Threatened"
"Porites profundus","Least Concern",0.9,"MB",4,"extra","Poritidae","Not Threatened"
"Porites pukoensis","Critically Endangered",1.7,"MB",4,"extra","Poritidae","Threatened"
"Porites rugosus","Vulnerable",0.9,"MB",4,"extra","Poritidae","Not Threatened"
"Porites rus","Least Concern",0.8,"LB",4,"extra","Poritidae","Not Threatened"
"Porites solida","Least Concern",1.6,"NB",4,"extra","Poritidae","Not Threatened"
"Porites somaliensis","Near Threatened",2.3,"NB",4,"extra","Poritidae","Threatened"
"Porites stephensoni","Near Threatened",1.3,"NB",4,"extra","Poritidae","Threatened"
"Porites vaughani","Least Concern",0.8,"LB",4,"extra","Poritidae","Not Threatened"
"Psammocora columna","Least Concern",6,"NB",4,"intra","Psammocoridae","Not Threatened"
"Psammocora contigua","Near Threatened",1.5,"MB",4,"intra","Psammocoridae","Threatened"
"Psammocora digitata","Near Threatened",2.3,"MB",4,"intra","Psammocoridae","Threatened"
"Psammocora exesa","Least Concern",6.1,"MB",4,"intra","Psammocoridae","Not Threatened"
"Psammocora haimiana","Least Concern",4.6,"NB",4,"intra","Psammocoridae","Not Threatened"
"Psammocora nierstraszi","Near Threatened",2.3,"NB",4,"intra","Psammocoridae","Threatened"
"Psammocora profundacella","Least Concern",2.5,"NB",4,"intra","Psammocoridae","Not Threatened"
"Psammocora stellata","Vulnerable",2.5,"NB",4,"intra","Psammocoridae","Not Threatened"
"Pseudodiploria clivosa","Least Concern",5.8,"NB",5,"intra","Faviidae","Not Threatened"
"Pseudodiploria strigosa","Least Concern",5.1,"NB",5,"intra","Faviidae","Not Threatened"
"Sandalolitha dentata","Least Concern",3.5,"NB",5,"intra","Fungiidae","Not Threatened"
"Sandalolitha robusta","Least Concern",4.6,"NB",5,"intra","Fungiidae","Not Threatened"
"Schizoculina africana","Data Deficient",9.1,"HB",3,"extra","Oculinidae","Data Deficient"
"Schizoculina fissipara","Data Deficient",3.4,"LB",3,"extra","Oculinidae","Data Deficient"
"Sclerophyllia maxima","Near Threatened",40,"NB",4,"intra","Lobophylliidae","Threatened"
"Scolymia cubensis","Least Concern",56.5,"NB",0,"both","Faviidae","Not Threatened"
"Seriatopora aculeata","Vulnerable",0.5,"MB",3,"extra","Pocilloporidae","Not Threatened"
"Seriatopora caliendrum","Near Threatened",1.1,"MB",3,"extra","Pocilloporidae","Threatened"
"Seriatopora guttata","Least Concern",0.6,"MB",3,"extra","Pocilloporidae","Not Threatened"
"Seriatopora hystrix","Least Concern",0.8,"MB",3,"extra","Pocilloporidae","Not Threatened"
"Seriatopora stellata","Near Threatened",0.6,"MB",3,"extra","Pocilloporidae","Threatened"
"Siderastrea radians","Least Concern",3,"NB",4,"extra","Siderastreidae","Not Threatened"
"Siderastrea savignyana","Least Concern",3.8,"NB",4,"extra","Siderastreidae","Not Threatened"
"Siderastrea siderea","Critically Endangered",4.5,"NB",4,"extra","Siderastreidae","Threatened"
"Siderastrea stellata","Data Deficient",3,"NB",4,"extra","Siderastreidae","Data Deficient"
"Simplastrea vesicularis","Data Deficient",4.2,"LB",3,"extra","Euphylliidae","Data Deficient"
"Sinuorota hexagonalis","Least Concern",29,"NB",0,"","Fungiidae","Not Threatened"
"Solenastrea bournoni","Least Concern",20.5,"NB",3,"extra","Scleractinia incertae sedis","Not Threatened"
"Solenastrea hyades","Least Concern",4.2,"NB",3,"extra","Scleractinia incertae sedis","Not Threatened"
"Stephanocoenia intersepta","Least Concern",2.7,"NB",3,"extra","Astrocoeniidae","Not Threatened"
"Stylaraea punctata","Data Deficient",1.2,"LB",3,"extra","Poritidae","Data Deficient"
"Stylocoeniella armata","Least Concern",2.3,"LB",3,"extra","Astrocoeniidae","Not Threatened"
"Stylocoeniella cocosensis","Vulnerable",0.7,"LB",3,"extra","Astrocoeniidae","Not Threatened"
"Stylocoeniella guentheri","Least Concern",1.1,"LB",3,"extra","Astrocoeniidae","Not Threatened"
"Stylophora danae","Least Concern",1.1,"MB",3,"extra","Pocilloporidae","Not Threatened"
"Stylophora kuehlmanni","Least Concern",0.7,"MB",3,"extra","Pocilloporidae","Not Threatened"
"Stylophora madagascarensis","Endangered",0.8,"MB",3,"extra","Pocilloporidae","Threatened"
"Stylophora mamillata","Least Concern",1,"LB",3,"extra","Pocilloporidae","Not Threatened"
"Stylophora pistillata","Near Threatened",1.4,"MB",3,"extra","Pocilloporidae","Threatened"
"Stylophora subseriata","Least Concern",0.7,"MB",3,"extra","Pocilloporidae","Not Threatened"
"Stylophora wellsi","Near Threatened",0.7,"MB",3,"extra","Pocilloporidae","Threatened"
"Trachyphyllia geoffroyi","Near Threatened",4,"NB",7,"intra","Merulinidae","Threatened"
"Turbinaria bifrons","Vulnerable",1.6,"MB",3,"extra","Dendrophylliidae","Not Threatened"
"Turbinaria conspicua","Least Concern",1.6,"MB",3,"extra","Dendrophylliidae","Not Threatened"
"Turbinaria frondens","Least Concern",1.1,"MB",3,"extra","Dendrophylliidae","Not Threatened"
"Turbinaria heronensis","Vulnerable",4.4,"MB",3,"extra","Dendrophylliidae","Not Threatened"
"Turbinaria irregularis","Least Concern",2.1,"MB",3,"extra","Dendrophylliidae","Not Threatened"
"Turbinaria mesenterina","Vulnerable",3.5,"MB",3,"extra","Dendrophylliidae","Not Threatened"
"Turbinaria patula","Vulnerable",3.5,"MB",3,"extra","Dendrophylliidae","Not Threatened"
"Turbinaria radicalis","Near Threatened",2.5,"LB",3,"extra","Dendrophylliidae","Threatened"
"Turbinaria reniformis","Vulnerable",4.2,"MB",3,"extra","Dendrophylliidae","Not Threatened"
"Turbinaria stellulata","Vulnerable",3.3,"NB",3,"extra","Dendrophylliidae","Not Threatened"
"Zoopilus echinatus","Least Concern",20,"NB",5,"intra","Fungiidae","Not Threatened"
